t	O_12	O_10	O_8
0	0	0	0
2	0	0	0
4	0	0	0
6	0	0	0
8	0	0	0
10	0	0	0
12	0	0	0
14	0	0	0
16	0	0	0
18	0	0	0
20	0	0	0
22	0	0	0
24	0	0	0
26	0	0	0
28	0	0	0
30	0	0	0
32	0	0	0
34	0	0	0
36	0	0	0
38	0	0	0
40	0	0	0
42	0	0	0
44	0	0	0
46	0	0	0
48	0	0	0
50	0	0	0
52	0	0	0
54	0	0	0
56	0	0	0
58	0	0	0
60	0	0	0
62	0	0	0
64	0	0	0
66	0	0	0
68	0	0	0
70	0	0	0
72	0	0	0
74	0	0	0
76	0	0	0
78	0	0	0
80	0	0	0
82	0	0	0
84	0	0	0
86	0	0	0
88	0	0	0
90	0	0	0
92	0	0	0
94	0	0	0
96	0	0	0
98	0	0	0
100	0	0	0
102	0	0	0
104	0	0	0
106	0	0	0
108	0	0	0
110	0	0	0
112	0	0	0
114	0	0	0
116	0	0	0
118	0	0	0
120	0	0	0
122	0	0	0
124	0	0	0
126	0	0	0
128	0	0	0
130	0	0	0
132	0	0	0
134	0	0	0
136	0	0	0
138	0	0	0
140	0	0	0
142	0	0	0
144	0	0	0
146	0	0	0
148	0	0	0
150	0	0	0
152	0	0	0
154	0	0	0
156	0	0	0
158	0	0	0
160	0	0	0
162	0	0	0
164	0	0	0
166	0	0	0
168	0	0	0
170	0	0	0
172	0	0	0
174	0	0	0
176	0	0	0
178	0	0	0
180	0	0	0
182	0	0	0
184	0	0	0
186	0	0	0
188	0	0	0
190	0	0	0
192	0	0	0
194	0	0	0
196	0	0	0
198	0	0	0
200	0	0	0
202	0	0	0
204	0	0	0
206	0	0	0
208	0	0	0
210	0	0	0
212	0	0	0
214	0	0	0
216	0	0	0
218	0	0	0
220	0	0	0
222	0	0	0
224	0	0	0
226	0	0	0
228	0	0	0
230	0	0	0
232	0	0	0
234	0	0	0
236	0	0	0
238	0	0	0
240	0	0	0
242	0	0	0
244	0	0	0
246	0	0	0
248	0	0	0
250	0	0	0
252	0	0	0
254	0	0	0
256	0	0	0
258	0	0	0
260	0	0	0
262	0	0	0
264	0	0	0
266	0	0	0
268	0	0	0
270	0	0	0
272	0	0	0
274	0	0	0
276	0	0	0
278	0	0	0
280	0	0	0
282	0	0	0
284	0	0	0
286	0	0	0
288	0	0	0
290	0	0	0
292	0	0	0
294	0	0	0
296	0	0	0
298	0	0	0
300	0	0	0
302	0	0	0
304	0	0	0
306	0	0	0
308	0	0	0
310	0	0	0
312	0	0	0
314	0	0	0
316	0	0	0
318	0	0	0
320	0	0	0
322	0	0	0
324	0	0	0
326	0	0	0
328	0	0	0
330	0	0	0
332	0.00522	0	0
334	0.00522	0	0
336	0.00522	0	0
338	0.00522	0	0
340	0.00522	0	0
342	0.01565	0	0
344	0.01043	0	0
346	0.01043	0	0
348	0.01956	0	0
350	0.01695	0	0
352	0.01956	0	0
354	0.01695	0	0
356	0.02738	0	0
358	0.02477	0	0
360	0.0339	0	0
362	0.03259	0	0
364	0.0339	0	0
366	0.03651	0	0
368	0.03651	0	0
370	0.04954	0	0
372	0.04694	0	0
374	0.05215	0	0
376	0.06128	0	0
378	0.06128	0	0
380	0.06649	0	0
382	0.0691	0	0
384	0.08344	0	0
386	0.08344	0	0
388	0.09518	0	0
390	0.103	0	0
392	0.11473	0	0
394	0.1395	0	0
396	0.15515	0	0
398	0.16688	0	0
400	0.19426	0	0
402	0.22034	0	0
404	0.2425	0	0
406	0.26076	0	0
408	0.29596	0	0
410	0.33638	0	0
412	0.36767	0	0
414	0.39896	0	0
416	0.45111	0	0
418	0.48761	0	0
420	0.52412	0	0
422	0.55411	0	0
424	0.59192	0	0
426	0.63494	0	0
428	0.67797	0	0
430	0.71838	0	0
432	0.74576	0	0
434	0.78488	0.00257	0
436	0.82399	0.00257	0
438	0.85267	0.00642	0
440	0.88005	0.00257	0
442	0.897	0	0
444	0.91656	0.00385	0
446	0.9309	0.01155	0
448	0.94785	0.02054	0
450	0.96219	0.01926	0
452	0.9661	0.02567	0
454	0.97132	0.02054	0
456	0.97392	0.03081	0
458	0.97392	0.03081	0
460	0.99087	0.03851	0
462	0.99087	0.04493	0
464	0.99478	0.03979	0
466	0.99087	0.04493	0
468	0.99087	0.05263	0
470	0.99739	0.05905	0
472	0.99739	0.06932	0
474	0.99739	0.07702	0
476	0.98827	0.09114	0
478	0.99739	0.10013	0
480	0.99739	0.1181	0
482	0.98827	0.12965	0
484	0.98566	0.15404	0
486	0.98305	0.17715	0
488	0.98827	0.20668	0
490	1	0.22336	0
492	0.99087	0.25289	0
